"ASIN"	"ResultRank"	"Title"	"Author"	"SalesRank"	"isInKU"	"ReleaseDate"	"nPages"	"Price"	"averageReview"	"nReviews"
"B077YLSQT4"	64	"Cadmium Dragon (Dragon Guard of Drakkaris Book 2)"	"Terry Bolryder"	64	TRUE	2017-12-05	175	0.99	4.9	88
"B00KLDEKX4"	65	"Sheet Pan Suppers: 120 Recipes for Simple, Surprising, Hands-Off Meals Straight from the Oven"	"Molly Gilbert"	65	FALSE	2014-12-02	305	1.99	4.2	474
"B005LVR6ZA"	66	"Ubik"	"Philip K. Dick"	66	TRUE	2012-04-17	241	9.99	4.2	441
"B01N4VW75U"	67	"Little Fires Everywhere"	"Celeste Ng"	67	FALSE	2017-09-12	352	13.99	4.4	726
"B0027MJU4G"	68	"Paul Newman: A Life"	"Shawn Levy"	68	FALSE	2009-05-05	514	1.99	4	200
"B003P9XMFI"	69	"The Hangman's Daughter: [Kindle in Motion] (A Hangman's Daughter Tale Book 1)"	"Oliver Pötzsch"	69	TRUE	2010-12-07	448	1.99	4.1	4850
"B0192CTMX2"	70	"Harry Potter and the Prisoner of Azkaban"	"J.K. Rowling"	70	TRUE	2015-12-08	475	8.99	4.8	58829
"B077X13RYZ"	71	"The Christmas Surprise: A Billionaire Single Daddy Romance"	"R.R. Banks"	71	TRUE	2017-12-02	314	0.99	4.7	226
"B077T6RFQD"	72	"Planting His Seed (Hot-Bites Novella)"	"Jenika Snow,Jordan Marie"	72	TRUE	2017-11-28	112	0.99	4.5	93
"B0777KNG89"	73	"Four Psychos (The Dark Side Book 1)"	"Kristy Cunning"	73	TRUE	2017-11-06	210	0.99	4.9	496
"B0784VPRSF"	74	"The Forbidden Sitter: A Billionaire Holiday Romance (Nightclub Sins Book 1)"	"Michelle Love"	74	TRUE	2017-11-28	1181	0.99	4.7	128
"B06XNPT7FQ"	75	"The Unremembered Girl: A Novel"	"Eliza Maxwell"	75	TRUE	2017-11-01	334	4.99	4.3	1191
"B0777QH516"	76	"A Shade of Vampire 53: A Hunt of Fiends"	"Bella Forrest"	76	TRUE	2017-12-06	320	3.99	4.9	32
"B00G1J1QFM"	77	"The Best Punctuation Book, Period: A Comprehensive Guide for Every Writer, Editor, Student, and Businessperson"	"June Casagrande"	77	FALSE	2014-04-15	256	2.99	4.7	76
"B00LWE0QZM"	78	"The Dead Key"	"D. M. Pulley"	78	TRUE	2015-03-01	467	5.99	4.2	8818
"B0036S4AQI"	79	"Davita's Harp"	"Chaim Potok"	79	FALSE	2010-03-10	385	1.99	4.2	72
"B004H0M8E0"	80	"Warprize (Chronicles of the Warlands Book 1)"	"Elizabeth Vaughan"	80	FALSE	2011-04-05	340	1.99	4.4	267
"B0751GJLRN"	81	"The Secret Mother: A gripping psychological thriller that will have you hooked"	"Shalini Boland"	81	FALSE	2017-11-09	244	2.99	4.6	131
"B01N2T9M01"	82	"Love Real Food: More Than 100 Feel-Good Vegetarian Favorites to Delight the Senses and Nourish the Body"	"Kathryne Taylor"	82	FALSE	2017-05-16	272	2.99	4.9	340
"B0192CTMXM"	83	"Harry Potter and the Order of the Phoenix"	"J.K. Rowling"	83	TRUE	2015-12-08	901	8.99	4.8	58829
"B01L83TSVO"	84	"The No Meat Athlete Cookbook: Whole Food, Plant-Based Recipes to Fuel Your Workouts-and the Rest of Your Life"	"Matt Frazier,Stepfanie Romine"	84	FALSE	2017-05-16	288	2.24	4.6	97
"B06XHK8WRL"	85	"The Last Move"	"Mary Burton"	85	TRUE	2017-09-19	338	1.99	4.7	237
"B00NUB4GFQ"	86	"Misbehaving: The Making of Behavioral Economics"	"Richard H. Thaler"	86	TRUE	2015-05-11	432	8.98	4.4	314
"B075FJWH6Q"	87	"A Death in White Bear Lake: The True Chronicle of an All-American Town"	"Barry Siegel"	87	FALSE	2017-09-26	524	1.99	4.5	49
"B0192CTMUU"	88	"Harry Potter and the Goblet of Fire"	"J.K. Rowling"	88	TRUE	2015-12-08	247	8.99	4.8	58829
"B077XKBQRT"	89	"Christmas Daddy Next Door: A Single Dad and Baby Romance"	"Tia Siren"	89	TRUE	2017-12-03	1333	0.99	4.6	131
"B001VA1PP2"	90	"The Moonflower Vine: A Novel (P.S.)"	"Jetta Carleton"	90	FALSE	2009-10-06	349	1.99	4.4	333
"B01NAWAH85"	91	"Oathbringer: Book Three of the Stormlight Archive"	"Brandon Sanderson"	91	FALSE	2017-11-14	1220	16.99	4.7	514
"B06XJ14MXH"	92	"The House Next Door: A Ghost Story"	"Darcy Coates"	92	TRUE	2017-03-15	282	0.99	4.5	128
"B01N3KJB3E"	93	"Hardcore Twenty-Four (Stephanie Plum Book 24)"	"Janet Evanovich"	93	FALSE	2017-11-14	296	13.99	3.9	748
"B077WXFYNL"	94	"Behind the Bars"	"Brittainy Cherry"	94	TRUE	2017-12-07	373	2.99	4.8	120
"B0192CTMWS"	95	"Harry Potter and the Deathly Hallows"	"J.K. Rowling"	95	TRUE	2015-12-08	316	8.99	4.8	58829
"B077VYXZH6"	96	"Goldicox: An MFMM Menage Fairy Tale Romance"	"Abby Angel,Daphne Dawn"	96	TRUE	2017-11-30	256	0.99	4.6	157
"B0777JQK31"	97	"Instant Pot Cookbook: The Complete Instant Pot Cookbook - Delicious and Simple Recipes For Your Instant Pot Pressure Cooker (Electric Pressure Cooker Cookbook)"	"Tricia Brown"	97	TRUE	2017-11-06	136	0.99	4.4	228
"B01NCV01MG"	98	"The Memory of Butterflies: A Novel"	"Grace Greene"	98	TRUE	2017-09-05	290	1.99	4.6	264
"B01MF4ZMSO"	99	"Come Home to Sweetgrass Boxed Set: Books 1-3 Gallaghers of Sweetgrass Springs plus bonus Christmas novella (Texas Heroes)"	"Jean Brashear"	99	FALSE	2016-10-20	651	0.99	4.4	30
"B0785Y7XVG"	100	"Use Your Heart and Not Your Eyes"	"Natavia"	100	TRUE	2017-12-08	358	8.99	5	27
